"","date","cases_sevendayaveraged"
"1","2020-03-01",4.714286
"2","2020-03-02",5.285714
"3","2020-03-03",7.285714
"4","2020-03-04",12.857142
"5","2020-03-05",20.714285
"6","2020-03-06",28.428572
"7","2020-03-07",34.285713
"8","2020-03-08",44.42857
"9","2020-03-09",53.57143
"10","2020-03-10",58.57143
"11","2020-03-11",73.85714
"12","2020-03-12",103.42857
"13","2020-03-13",153
"14","2020-03-14",215.14285
"15","2020-03-15",271.57144
"16","2020-03-16",312.14285
"17","2020-03-17",367.2857
"18","2020-03-18",432.14285
"19","2020-03-19",506.14285
"20","2020-03-20",589.1429
"21","2020-03-21",668.5714
"22","2020-03-22",779.2857
"23","2020-03-23",898
"24","2020-03-24",1029.4286
"25","2020-03-25",1270.4286
"26","2020-03-26",1494.7142
"27","2020-03-27",1735
"28","2020-03-28",2020.5714
"29","2020-03-29",2292.2856
"30","2020-03-30",2519.5715
"31","2020-03-31",2727.7144
"32","2020-04-01",3000
"33","2020-04-02",3301.4285
"34","2020-04-03",3619.2856
"35","2020-04-04",3874.2856
"36","2020-04-05",4116.857
"37","2020-04-06",4288.5713
"38","2020-04-07",4394
"39","2020-04-08",4548
"40","2020-04-09",4692.857
"41","2020-04-10",4729.2856
"42","2020-04-11",4736.5713
"43","2020-04-12",4661.4287
"44","2020-04-13",4605.5713
"45","2020-04-14",4598.5713
"46","2020-04-15",4445.7144
"47","2020-04-16",4282.5713
"48","2020-04-17",4271.7144
"49","2020-04-18",4331.2856
"50","2020-04-19",4424.143
"51","2020-04-20",4589.7144
"52","2020-04-21",4643.143
"53","2020-04-22",4677.143
"54","2020-04-23",4743
"55","2020-04-24",4806.857
"56","2020-04-25",4788.857
"57","2020-04-26",4786.5713
"58","2020-04-27",4645.5713
"59","2020-04-28",4587.7144
"60","2020-04-29",4630.2856
"61","2020-04-30",4619.2856
"62","2020-05-01",4607.2856
"63","2020-05-02",4578
"64","2020-05-03",4550.143
"65","2020-05-04",4478.857
"66","2020-05-05",4411.143
"67","2020-05-06",4219.5713
"68","2020-05-07",4072
"69","2020-05-08",3843.2856
"70","2020-05-09",3675.5715
"71","2020-05-10",3432.4285
"72","2020-05-11",3277
"73","2020-05-12",3182
"74","2020-05-13",3212.5715
"75","2020-05-14",3173.1428
"76","2020-05-15",3101.4285
"77","2020-05-16",2936.1428
"78","2020-05-17",2859.8572
"79","2020-05-18",2847.2856
"80","2020-05-19",2775.8572
"81","2020-05-20",2628.5715
"82","2020-05-21",2579
"83","2020-05-22",2491.7144
"84","2020-05-23",2482.7144
"85","2020-05-24",2415.1428
"86","2020-05-25",2336.5715
"87","2020-05-26",2270.2856
"88","2020-05-27",2133.7144
"89","2020-05-28",1991.8572
"90","2020-05-29",1864.1428
"91","2020-05-30",1748.4286
"92","2020-05-31",1673.2858
"93","2020-06-01",1616.1428
"94","2020-06-02",1574.2858
"95","2020-06-03",1547.7142
"96","2020-06-04",1465.1428
"97","2020-06-05",1400
"98","2020-06-06",1327.4286
"99","2020-06-07",1269.1428
"100","2020-06-08",1222.2858
"101","2020-06-09",1171.1428
"102","2020-06-10",1122.5714
"103","2020-06-11",1075.8572
"104","2020-06-12",1051.1428
"105","2020-06-13",1017.4286
